customer_id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp1,acceptedcmp2,acceptedcmp3,acceptedcmp4,acceptedcmp5,response,country
9041,1988,Graduation,Widow,84401.0,0,2,12-11-2023,12,113,103,132,379,101,18,8,6,0,8,18,0,0,1,1,1,0,India
9563,1978,Graduation,Divorced,39192.0,2,2,,13,753,236,54,478,82,147,9,3,6,8,16,1,0,0,0,1,0,France
9197,1964,Master,Yolo,84401.0,2,0,06-04-2024,43,502,154,988,77,43,470,5,6,9,2,8,0,1,1,1,1,0,Canada
3431,1992,Phd,Single,46738.0,1,1,10-05-2021,17,635,256,509,434,67,490,7,5,6,8,10,1,1,0,1,1,0,India
1665,1957,Phd,Absurd,84401.0,0,0,,63,816,234,669,171,47,282,8,6,7,2,4,0,0,1,1,0,1,Usa
5911,1970,Phd,Widow,33432.0,1,0,,81,587,288,540,95,56,112,7,3,5,3,1,1,1,0,1,1,0,India
1950,1988,Graduation,Widow,84401.0,0,1,29-06-2021,36,310,39,409,305,74,454,4,2,7,0,14,0,1,0,0,1,1,India
4390,1968,2N Cycle,Absurd,84401.0,2,2,06-02-2025,85,468,287,210,372,21,329,4,4,0,4,11,1,1,0,0,0,0,Germany
2697,1972,Graduation,Divorced,110824.0,2,0,,8,823,196,665,272,131,254,5,2,0,8,9,0,0,1,0,0,0,France
2013,1960,2N Cycle,Yolo,84401.0,0,2,,69,707,272,292,418,266,598,0,2,8,1,9,0,0,1,1,0,1,Canada
7824,1960,Basic,Widow,84401.0,1,2,11-06-2020,90,862,263,986,384,286,398,7,3,3,3,19,1,1,1,0,1,0,Uk
3538,1973,Graduation,Absurd,84401.0,1,1,14-04-2021,80,43,56,733,412,119,507,1,7,2,9,10,1,0,0,0,0,1,France
5707,1985,Graduation,Together,146593.0,1,1,02-08-2025,36,414,297,114,178,245,465,5,1,5,1,9,0,1,1,0,0,1,Uk
2861,1989,Graduation,Single,84401.0,1,2,09-11-2024,28,697,97,948,63,55,406,8,3,9,7,6,1,1,0,1,0,0,Uk
6767,1973,Phd,Married,84401.0,2,0,,93,854,136,669,131,37,97,2,2,8,8,13,0,0,1,1,0,0,Germany
